区分,,合計,三宅島,御蔵島
総数,,200,170,30
[改正前]食品衛生法第52条に規定する営業,,106,91,15
,飲食店営業,66,58,8
,喫茶店営業,1,1,0
,菓子製造業,16,12,4
,食肉販売業,5,5,0
,魚介類販売業,8,7,1
,清涼飲料水製造業,1,0,1
,氷雪製造業,1,0,1
,酒類製造業,1,1,0
,麺類製造業,1,1,0
,そうざい製造業,5,5,0
,かん詰又はびん詰食品製造業,1,1,0
[改正後]食品衛生法第55条に規定する営業,,66,57,9
,飲食店営業,45,39,6
,食肉販売業,7,6,1
,魚介類販売業,7,6,1
,菓子製造業,4,4,0
,清涼飲料水製造業,0,0,0
,水産製品製造業,2,2,0
,氷雪製造業,1,0,1
,酒類製造業,0,0,0
,麺類製造業,0,0,0
,そうざい製造業,0,0,0
,密封包装食品製造業,0,0,0
[改正後]食品衛生法57条に規定する営業等,,28,22,6
,旧許可業種であった営業,8,8,0
,販売業,14,11,3
,製造・加工業,2,2,0
,上記以外のもの,4,1,3
