区市名,所有者数／令和4年(人),所有者数／令和3年(人),所有者数／令和4年－令和3年(人)
区部／千代田区,2938,2999,-61
区部／中央区,5577,5688,-111
区部／港区,6428,6481,-53
区部／新宿区,17028,17016,12
区部／文京区,14984,14949,35
区部／台東区,14856,14935,-79
区部／墨田区,19082,19076,6
区部／江東区,20766,20616,150
区部／品川区,25614,25525,89
区部／目黒区,17002,16908,94
区部／大田区,49486,48764,722
区部／世田谷区,52532,51943,589
区部／渋谷区,11478,11534,-56
区部／中野区,24530,24299,231
区部／杉並区,38319,37671,648
区部／豊島区,19887,19781,106
区部／北区,25265,25049,216
区部／荒川区,16540,16385,155
区部／板橋区,36780,36533,247
区部／練馬区,47529,47112,417
区部／足立区,57929,57263,666
区部／葛飾区,45613,45121,492
区部／江戸川区,62850,62473,377
区部／区部計,633013,628121,4892
市部／八王子市,10695,10743,-48
市部／立川市,6874,6663,211
市部／武蔵野市,5073,5064,9
市部／三鷹市,7906,7804,102
市部／青梅市,3587,3616,-29
市部／府中市,11606,11462,144
市部／昭島市,3809,3805,4
市部／調布市,11725,11564,161
市部／町田市,7034,7039,-5
市部／小金井市,5339,5266,73
市部／小平市,14936,14884,52
市部／日野市,5913,5876,37
市部／東村山市,7477,7480,-3
市部／国分寺市,6087,6077,10
市部／国立市,2897,2845,52
市部／福生市,2020,2024,-4
市部／狛江市,6469,6479,-10
市部／東大和市,3266,3256,10
市部／清瀬市,2402,2409,-7
市部／東久留米市,15843,15843,0
市部／武蔵村山市,2634,2659,-25
市部／多摩市,17051,17018,33
市部／稲城市,2379,2357,22
市部／羽村市,1998,2008,-10
市部／あきる野市,1901,1918,-17
市部／西東京市,24787,24647,140
市部／市部計,191708,190806,902
区部・市部計,824721,818927,5794
