地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13204021,-31,12808030,6336809,6471221,395991,186068,209923,6702796,6411428,208864,82504
1,13100,区部,9018005,386,8686001,4287846,4398155,332004,157575,174429,4766054,4522729,179103,64222
1,13200,市部,4099651,-362,4036541,2005735,2030806,63110,28152,34958,1896208,1848863,29454,17891
2,13300,郡部,59000,-43,58354,29342,29012,646,279,367,25344,24862,223,259
2,13350,島部,27365,-12,27134,13886,13248,231,62,169,15190,14974,84,132
1,13100,区部,9018005,386,8686001,4287846,4398155,332004,157575,174429,4766054,4522729,179103,64222
4,13101,千代田区,54148,143,51675,25573,26102,2473,1404,1069,30438,28537,1556,345
4,13102,中央区,132350,328,127437,60546,66891,4913,2520,2393,76353,72554,2866,933
4,13103,港区,235452,514,217126,101493,115633,18326,9715,8611,134510,121666,9969,2875
4,13104,新宿区,324320,41,289927,144913,145014,34393,17060,17333,201314,174196,23768,3350
4,13105,文京区,204120,-73,196988,93825,103163,7132,3431,3701,111043,105406,4501,1136
4,13106,台東区,187599,203,174759,89890,84869,12840,6231,6609,107883,98425,7576,1882
4,13107,墨田区,254571,128,245251,123432,121819,9320,3803,5517,135964,129103,4423,2438
4,13108,江東区,486828,379,465625,232004,233621,21203,9714,11489,244814,231160,9489,4165
4,13109,品川区,368661,0,358187,175750,182437,10474,5073,5401,202657,195037,5246,2374
4,13110,目黒区,267608,-177,260563,122428,138135,7045,3732,3313,149008,143557,3908,1543
4,13111,大田区,701631,-157,683022,342360,340662,18609,8647,9962,364676,351274,8955,4447
4,13112,世田谷区,867583,102,852688,405986,446702,14895,7597,7298,452137,440418,7766,3953
4,13113,渋谷区,214648,342,205648,98071,107577,9000,4940,4060,129451,122582,5134,1735
4,13114,中野区,314059,-272,303073,152610,150463,10986,5364,5622,188267,179208,7202,1857
4,13115,杉並区,543224,-168,532471,255805,276666,10753,5209,5544,301825,293059,6484,2282
4,13116,豊島区,271610,-90,251967,127096,124871,19643,9419,10224,163562,147941,13426,2195
4,13117,北区,334858,-169,320268,159295,160973,14590,6758,7832,180322,170031,7820,2471
4,13118,荒川区,207735,6,192121,96177,95944,15614,7456,8158,107143,96494,8384,2265
4,13119,板橋区,540127,-97,523343,260330,263013,16784,7358,9426,282906,270481,8720,3705
4,13120,練馬区,711407,-334,698503,343446,355057,12904,5761,7143,347256,337554,6236,3466
4,13121,足立区,670600,-116,648060,326651,321409,22540,9603,12937,319548,304944,8430,6174
4,13122,葛飾区,448374,-180,434342,218303,216039,14032,6358,7674,215648,206078,6220,3350
4,13123,江戸川区,676492,33,652957,331862,321095,23535,10422,13113,319329,303024,11024,5281
1,13200,市部,4099651,-362,4036541,2005735,2030806,63110,28152,34958,1896208,1848863,29454,17891
4,13201,八王子市,563807,-228,554754,278787,275967,9053,4029,5024,255732,248803,4457,2472
4,13202,立川市,178282,-218,175081,87514,87567,3201,1358,1843,85202,82987,1278,937
4,13203,武蔵野市,140582,-69,138289,66389,71900,2293,1170,1123,73131,71252,1298,581
4,13204,三鷹市,180385,-54,177588,87253,90335,2797,1328,1469,89534,87249,1480,805
4,13205,青梅市,137935,-150,136507,68601,67906,1428,518,910,60801,59713,478,610
4,13206,府中市,253323,-25,249195,126310,122885,4128,1725,2403,118509,115381,1989,1139
4,13207,昭島市,112977,-132,110934,55588,55346,2043,899,1144,51563,50171,826,566
4,13208,調布市,223847,-167,220326,108425,111901,3521,1634,1887,110688,107998,1688,1002
4,13209,町田市,426269,-84,421486,207642,213844,4783,2179,2604,186796,183303,1966,1527
4,13210,小金井市,117134,-28,115115,57199,57916,2019,937,1082,56921,55372,1131,418
4,13211,小平市,186379,-1,182428,90200,92228,3951,1863,2088,86082,82917,2425,740
4,13212,日野市,179571,172,177103,89329,87774,2468,1139,1329,82925,81053,1244,628
4,13213,東村山市,152159,-121,150064,73866,76198,2095,912,1183,70216,68718,815,683
4,13214,国分寺市,118662,-112,116991,58058,58933,1671,772,899,56374,55085,904,385
4,13215,国立市,74469,-39,73200,36213,36987,1269,569,700,35591,34683,575,333
4,13218,福生市,58872,-84,56342,28347,27995,2530,1223,1307,29100,27181,1366,553
4,13219,狛江市,77835,115,76865,37610,39255,970,441,529,38918,38153,455,310
4,13220,東大和市,85052,449,84000,41716,42284,1052,387,665,37012,36289,360,363
4,13221,清瀬市,74174,59,73187,35473,37714,987,420,567,33801,33076,361,364
4,13222,東久留米市,116364,81,114705,56512,58193,1659,662,997,51851,50739,507,605
4,13223,武蔵村山市,72170,-8,71060,35685,35375,1110,431,679,30070,29304,340,426
4,13224,多摩市,146770,446,144748,71460,73288,2022,816,1206,67817,66312,872,633
4,13225,稲城市,86228,-67,85139,43132,42007,1089,519,570,36783,36029,407,347
4,13227,羽村市,56888,-28,55683,28349,27334,1205,516,689,25054,24223,502,329
4,13228,あきる野市,81921,18,81288,40697,40591,633,249,384,34020,33561,217,242
4,13229,西東京市,197596,-87,194463,95380,99083,3133,1456,1677,91717,89311,1513,893
1,13550,町村部,86365,-55,85488,43228,42260,877,341,536,40534,39836,307,391
2,13300,郡部,59000,-43,58354,29342,29012,646,279,367,25344,24862,223,259
4,13303,瑞穂町,33926,16,33389,16977,16412,537,243,294,14209,13816,191,202
4,13305,日の出町,16930,-37,16857,8338,8519,73,22,51,7160,7101,19,40
4,13307,檜原村,2469,-8,2456,1230,1226,13,3,10,1195,1185,7,3
4,13308,奥多摩町,5675,-14,5652,2797,2855,23,11,12,2780,2760,6,14
2,13350,島部,27365,-12,27134,13886,13248,231,62,169,15190,14974,84,132
3,13360,大島支庁,13542,-1,13481,6758,6723,61,36,25,7217,7160,34,23
4,13361,大島町,8317,-4,8265,4174,4091,52,34,18,4804,4756,33,15
4,13362,利島村,308,-2,308,167,141,0,0,0,169,169,0,0
4,13363,新島村,2942,2,2937,1414,1523,5,2,3,1375,1370,0,5
4,13364,神津島村,1975,3,1971,1003,968,4,0,4,869,865,1,3
3,13380,三宅支庁,3049,-10,3006,1637,1369,43,7,36,1920,1884,13,23
4,13381,三宅村,2731,-8,2689,1464,1225,42,7,35,1744,1709,13,22
4,13382,御蔵島村,318,-2,317,173,144,1,0,1,176,175,0,1
3,13400,八丈支庁,8186,-11,8080,4050,4030,106,8,98,4608,4506,26,76
4,13401,八丈町,8021,-11,7917,3955,3962,104,8,96,4501,4401,26,74
4,13402,青ヶ島村,165,0,163,95,68,2,0,2,107,105,0,2
3,13420,小笠原支庁,2588,10,2567,1441,1126,21,11,10,1445,1424,11,10
4,13421,小笠原村,2588,10,2567,1441,1126,21,11,10,1445,1424,11,10
,,,,,,,,,,,,,,
住民基本台帳による世帯と人口_平成25年12月,,,,,,,,,,,,,,
住民基本台帳による世帯と人口（日本人及び外国人）平成25年12月１日現在,,,,,,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
