地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13843740,858,13284458,6522957,6761501,559282,276045,283237,7440581,7022059,325161,93361
1,13100,区部,9567846,1861,9101351,4460221,4641130,466495,231529,234966,5324325,4976657,275525,72143
1,13200,市部,4195968,-951,4104605,2022947,2081658,91363,43813,47550,2075388,2005710,48858,20820
2,13300,郡部,55612,-32,54488,27356,27132,1124,574,550,26456,25565,604,287
2,13350,島部,24314,-20,24014,12433,11581,300,129,171,14412,14127,174,111
1,13100,区部,9567846,1861,9101351,4460221,4641130,466495,231529,234966,5324325,4976657,275525,72143
4,13101,千代田区,67449,-82,64250,32091,32159,3199,1699,1500,38264,35736,2017,511
4,13102,中央区,173044,140,164218,77828,86390,8826,4421,4405,98119,91608,4918,1593
4,13103,港区,260529,8,242052,113136,128916,18477,9513,8964,148786,135573,9921,3292
4,13104,新宿区,345858,249,307236,153381,153855,38622,20097,18525,222485,191718,27452,3315
4,13105,文京区,228757,21,217427,103174,114253,11330,5535,5795,125657,116537,7684,1436
4,13106,台東区,206511,377,191114,97515,93599,15397,7800,7597,127428,115163,10317,1948
4,13107,墨田区,278594,410,265567,131540,134027,13027,5857,7170,160637,150490,7708,2439
4,13108,江東区,530932,633,499110,245759,253351,31822,15371,16451,281464,260752,15932,4780
4,13109,品川区,404313,-191,391162,191375,199787,13151,6483,6668,228653,218867,7086,2700
4,13110,目黒区,278544,-204,269303,126371,142932,9241,4897,4344,157857,150458,5342,2057
4,13111,大田区,729558,-447,705394,350752,354642,24164,11585,12579,401706,384097,12683,4926
4,13112,世田谷区,917195,-523,894906,422616,472290,22289,11477,10812,492328,474365,12809,5154
4,13113,渋谷区,229533,-43,219075,104226,114849,10458,5813,4645,140565,132191,6427,1947
4,13114,中野区,334273,211,316658,159360,157298,17615,9219,8396,209364,194830,12544,1990
4,13115,杉並区,571920,-123,555640,266144,289496,16280,8199,8081,326728,313499,10568,2661
4,13116,豊島区,288369,774,260672,130388,130284,27697,14236,13461,180953,157966,20777,2210
4,13117,北区,353500,217,330109,163780,166329,23391,11768,11623,202176,184913,14620,2643
4,13118,荒川区,216679,205,197959,98531,99428,18720,9053,9667,118850,105594,10867,2389
4,13119,板橋区,569053,77,541490,265217,276273,27563,13210,14353,320711,299801,16802,4108
4,13120,練馬区,739187,-153,719211,348451,370760,19976,9427,10549,384925,369633,11246,4046
4,13121,足立区,690377,68,655676,329437,326239,34701,16236,18465,364413,340686,17043,6684
4,13122,葛飾区,463798,198,440705,220076,220629,23093,11267,11826,243187,227530,11975,3682
4,13123,江戸川区,689873,39,652417,329073,323344,37456,18366,19090,349069,324650,18787,5632
1,13200,市部,4195968,-951,4104605,2022947,2081658,91363,43813,47550,2075388,2005710,48858,20820
4,13201,八王子市,562681,-71,548885,274489,274396,13796,6666,7130,279049,268222,8006,2821
4,13202,立川市,185533,129,180508,89645,90863,5025,2311,2714,95680,91878,2800,1002
4,13203,武蔵野市,148371,-3,145170,69363,75807,3201,1625,1576,78611,76074,1810,727
4,13204,三鷹市,190421,-191,186612,91045,95567,3809,1899,1910,96446,93340,2093,1013
4,13205,青梅市,130613,-99,128402,64611,63791,2211,994,1217,64657,62902,1085,670
4,13206,府中市,260632,-186,255233,128083,127150,5399,2467,2932,129055,124868,2910,1277
4,13207,昭島市,114265,9,111358,55490,55868,2907,1339,1568,56218,54087,1480,651
4,13208,調布市,238956,-8,234295,113988,120307,4661,2342,2319,122912,119255,2475,1182
4,13209,町田市,431139,-116,423286,206913,216373,7853,3804,4049,204935,199078,3954,1903
4,13210,小金井市,124778,-88,121950,59947,62003,2828,1403,1425,62732,60614,1579,539
4,13211,小平市,195806,-24,190710,93490,97220,5096,2397,2699,95066,91064,3044,958
4,13212,日野市,187322,83,183893,91932,91961,3429,1736,1693,92485,89837,1879,769
4,13213,東村山市,151849,-30,148659,72387,76272,3190,1510,1680,75383,73165,1433,785
4,13214,国分寺市,128363,-18,125782,61889,63893,2581,1260,1321,63545,61569,1464,512
4,13215,国立市,76384,-70,74553,36221,38332,1831,846,985,39249,37902,971,376
4,13218,福生市,56290,-17,52815,26488,26327,3475,1704,1771,30311,27683,2110,518
4,13219,狛江市,82947,-38,81601,39399,42202,1346,678,668,43307,42239,712,356
4,13220,東大和市,85053,-45,83767,41256,42511,1286,539,747,40237,39281,570,386
4,13221,清瀬市,74758,-30,73402,35337,38065,1356,608,748,36681,35699,579,403
4,13222,東久留米市,116942,-65,114606,55748,58858,2336,1036,1300,56022,54387,976,659
4,13223,武蔵村山市,71593,-57,69835,34846,34989,1758,739,1019,32471,31190,821,460
4,13224,多摩市,147706,-17,144808,70909,73899,2898,1382,1516,74069,71756,1618,695
4,13225,稲城市,93242,86,91677,45926,45751,1565,793,772,42312,41211,678,423
4,13227,羽村市,54592,-30,53001,26895,26106,1591,769,822,26300,25133,829,338
4,13228,あきる野市,79942,-4,78845,39226,39619,1097,563,534,36673,35822,536,315
4,13229,西東京市,205790,-51,200952,97424,103528,4838,2403,2435,100982,97454,2446,1082
1,13550,町村部,79926,-52,78502,39789,38713,1424,703,721,40868,39692,778,398
2,13300,郡部,55612,-32,54488,27356,27132,1124,574,550,26456,25565,604,287
4,13303,瑞穂町,32266,-20,31378,15898,15480,888,478,410,15195,14505,476,214
4,13305,日の出町,16491,-3,16332,8059,8273,159,74,85,7533,7401,79,53
4,13307,檜原村,2039,-10,2029,1014,1015,10,4,6,1130,1123,5,2
4,13308,奥多摩町,4816,1,4749,2385,2364,67,18,49,2598,2536,44,18
2,13350,島部,24314,-20,24014,12433,11581,300,129,171,14412,14127,174,111
3,13360,大島支庁,11842,-14,11711,5955,5756,131,91,40,6871,6749,101,21
4,13361,大島町,7173,-8,7066,3624,3442,107,83,24,4415,4316,84,15
4,13362,利島村,322,2,318,174,144,4,2,2,187,183,3,1
4,13363,新島村,2510,-4,2495,1213,1282,15,2,13,1340,1326,10,4
4,13364,神津島村,1837,-4,1832,944,888,5,4,1,929,924,4,1
3,13380,三宅支庁,2632,-1,2602,1439,1163,30,9,21,1692,1663,14,15
4,13381,三宅村,2336,-1,2307,1283,1024,29,9,20,1526,1498,14,14
4,13382,御蔵島村,296,0,295,156,139,1,0,1,166,165,0,1
3,13400,八丈支庁,7258,-1,7145,3612,3533,113,16,97,4342,4233,42,67
4,13401,八丈町,7091,-1,6978,3517,3461,113,16,97,4226,4117,42,67
4,13402,青ヶ島村,167,0,167,95,72,0,0,0,116,116,0,0
3,13420,小笠原支庁,2582,-4,2556,1427,1129,26,13,13,1507,1482,17,8
4,13421,小笠原村,2582,-4,2556,1427,1129,26,13,13,1507,1482,17,8
,,,,,,,,,,,,,,
住民基本台帳による世帯と人口_令和4年8月,,,,,,,,,,,,,,
住民基本台帳による世帯と人口（日本人及び外国人）令和4年8月1日現在,,,,,,,,,,,,,,
注）町村部は、郡部と島部を含む地域である。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
