地域階層,地域コード,地域,令和4年1月1日現在／世帯数(世帯),令和4年1月1日現在／人口／総数(人),令和4年1月1日現在／人口／男(人),令和4年1月1日現在／人口／女(人),人口密度1km2につき（令和4年）(人/km2),令和3年1月1日現在／世帯数(世帯),令和3年1月1日現在／人口／総数(人),令和3年1月1日現在／人口／男(人),令和3年1月1日現在／人口／女(人),差引増減人口（人口総数）(人),増減率 (人口総数)(%)
0,13000,総数,7354402,13794933,6775557,7019376,6287,7341487,13843525,6805319,7038206,-48592,-0.35
1,13100,区部,5254558,9522872,4669453,4853419,15175,5258484,9572763,4698055,4874708,-49891,-0.52
4,13101,千代田区,37773,67049,33485,33564,5750,37787,67216,33698,33518,-167,-0.25
4,13102,中央区,96535,171419,81477,89942,16789,95812,170583,81287,89296,836,0.49
4,13103,港区,145951,257183,120947,136236,12626,146527,259036,122111,136925,-1853,-0.72
4,13104,新宿区,216903,341222,170950,170272,18728,219464,345231,173164,172067,-4009,-1.16
4,13105,文京区,123199,226332,107576,118756,20047,123472,226574,107703,118871,-242,-0.11
4,13106,台東区,124181,203709,103990,99719,20149,123068,203647,104181,99466,62,0.03
4,13107,墨田区,157015,275724,136233,139491,20024,155354,275647,136334,139313,77,0.03
4,13108,江東区,276477,525952,258679,267273,12229,274831,526301,259047,267254,-349,-0.07
4,13109,品川区,226858,403699,197634,206065,17675,228061,406404,199164,207240,-2705,-0.67
4,13110,目黒区,156910,278276,131291,146985,18969,158367,281317,132949,148368,-3041,-1.08
4,13111,大田区,398254,728703,361634,367069,11780,398687,733672,363630,370042,-4969,-0.68
4,13112,世田谷区,489372,916208,433723,482485,15783,490342,920372,436042,484330,-4164,-0.45
4,13113,渋谷区,139386,229013,110012,119001,15156,140170,230506,110716,119790,-1493,-0.65
4,13114,中野区,206061,332017,167199,164818,21297,207425,334632,168755,165877,-2615,-0.78
4,13115,杉並区,323702,569703,273272,296431,16726,325403,573504,275174,298330,-3801,-0.66
4,13116,豊島区　,176253,283342,141957,141385,21779,178637,287300,143937,143363,-3958,-1.38
4,13117,北区,198967,351278,174369,176909,17044,199016,353158,175250,177908,-1880,-0.53
4,13118,荒川区,117089,215543,106982,108561,21215,117153,216535,107487,109048,-992,-0.46
4,13119,板橋区,316494,567214,277674,289540,17604,315872,570213,279679,290534,-2999,-0.53
4,13120,練馬区,381830,738358,357736,380622,15357,380495,740099,359039,381060,-1741,-0.24
4,13121,足立区,359923,689106,344922,344184,12941,357044,691002,346130,344872,-1896,-0.27
4,13122,葛飾区,239622,462083,230439,231644,13278,238563,463691,231646,232045,-1608,-0.35
4,13123,江戸川区,345803,689739,347272,342467,13822,346934,696123,350932,345191,-6384,-0.92
1,13200,市部,2059057,4191666,2065343,2126323,5347,2042199,4189577,2066099,2123478,2089,0.05
4,13201,八王子市,276046,561758,280789,280969,3014,272856,561828,280893,280935,-70,-0.01
4,13202,立川市,94682,185124,91887,93237,7600,93435,184577,91794,92783,547,0.3
4,13203,武蔵野市,78187,148025,70796,77229,13481,77854,147643,70626,77017,382,0.26
4,13204,三鷹市,96169,190590,93133,97457,11607,95814,190126,92946,97180,464,0.24
4,13205,青梅市,64324,131124,65846,65278,1269,63894,132145,66357,65788,-1021,-0.77
4,13206,府中市,127939,260253,130324,129929,8843,127224,260255,130653,129602,-2,0
4,13207,昭島市,55690,113829,56574,57255,6565,55010,113552,56417,57135,277,0.24
4,13208,調布市,121783,237939,115778,122161,11026,121296,237815,115800,122015,124,0.05
4,13209,町田市,202985,430385,210497,219888,6015,200182,429152,209979,219173,1233,0.29
4,13210,小金井市,62328,124617,61271,63346,11028,61909,123828,60957,62871,789,0.64
4,13211,小平市,94183,195361,95754,99607,9525,93638,195543,96036,99507,-182,-0.09
4,13212,日野市,91736,187304,93665,93639,6799,90870,187027,93655,93372,277,0.15
4,13213,東村山市,74846,151695,73803,77892,8850,74210,151575,73841,77734,120,0.08
4,13214,国分寺市,62992,127792,62913,64879,11151,62339,126862,62412,64450,930,0.73
4,13215,国立市,38957,76317,37105,39212,9364,38642,76371,37167,39204,-54,-0.07
4,13218,福生市,30086,56274,28120,28154,5539,30271,57024,28509,28515,-750,-1.32
4,13219,狛江市,43134,83022,40175,42847,12992,42980,83268,40343,42925,-246,-0.3
4,13220,東大和市,40049,85285,41846,43439,6355,39610,85317,41930,43387,-32,-0.04
4,13221,清瀬市,36502,74948,36069,38879,7326,36152,74905,36145,38760,43,0.06
4,13222,東久留米市,55777,117091,56926,60165,9091,55414,117007,56915,60092,84,0.07
4,13223,武蔵村山市,32373,71872,35768,36104,4691,32128,72023,35885,36138,-151,-0.21
4,13224,多摩市,73460,147528,72250,75278,7022,73160,148479,72598,75881,-951,-0.64
4,13225,稲城市,41932,93007,46672,46335,5176,41230,92262,46364,45898,745,0.81
4,13227,羽村市,26016,54609,27607,27002,5516,25781,54725,27662,27063,-116,-0.21
4,13228,あきる野市,36487,80112,39892,40220,1090,36080,80221,39964,40257,-109,-0.14
4,13229,西東京市,100394,205805,99883,105922,13067,100220,206047,100251,105796,-242,-0.12
1,13550,町村部,40787,80395,40761,39634,103,40804,81185,41165,40020,-790,-0.97
2,13300,郡部,26320,55843,28047,27796,149,26201,56259,28260,27999,-416,-0.74
4,13303,瑞穂町,15097,32328,16400,15928,1919,14971,32568,16526,16042,-240,-0.74
4,13305,日の出町,7466,16549,8166,8383,590,7422,16588,8177,8411,-39,-0.24
4,13307,檜原村,1137,2069,1030,1039,20,1165,2112,1048,1064,-43,-2.04
4,13308,奥多摩町,2620,4897,2451,2446,22,2643,4991,2509,2482,-94,-1.88
2,13350,島部,14467,24552,12714,11838,60,14603,24926,12905,12021,-374,-1.5
3,13360,大島支庁,6918,12018,6140,5878,85,7013,12241,6253,5988,-223,-1.82
4,13361,大島町,4462,7262,3751,3511,80,4542,7411,3835,3576,-149,-2.01
4,13362,利島村,187,332,184,148,81,179,310,179,131,22,7.1
4,13363,新島村,1339,2547,1238,1309,92,1370,2633,1275,1358,-86,-3.27
4,13364,神津島村,930,1877,967,910,101,922,1887,964,923,-10,-0.53
3,13380,三宅支庁,1703,2661,1477,1184,35,1722,2690,1487,1203,-29,-1.08
4,13381,三宅村,1540,2362,1314,1048,43,1551,2383,1319,1064,-21,-0.88
4,13382,御蔵島村,163,299,163,136,15,171,307,168,139,-8,-2.61
3,13400,八丈支庁,4347,7298,3656,3642,88,4368,7389,3713,3676,-91,-1.23
4,13401,八丈町,4228,7128,3558,3570,99,4258,7224,3618,3606,-96,-1.33
4,13402,青ヶ島村,119,170,98,72,29,110,165,95,70,5,3.03
3,13420,小笠原支庁,1499,2575,1441,1134,24,1500,2606,1452,1154,-31,-1.19
4,13421,小笠原村,1499,2575,1441,1134,24,1500,2606,1452,1154,-31,-1.19
,,,,,,,,,,,,,
住民基本台帳による東京都の世帯と人口　令和4年1月,,,,,,,,,,,,,
第１表　区市町村、世帯数、男女別人口（人口総数）及び人口密度（令和4、3年）,,,,,,,,,,,,,
注）「世帯数」は、日本人のみの世帯、外国人のみの世帯及び日本人と外国人の複数国籍世帯を合わせた総世帯数であり、「人口」は、日本人と外国人を合わせた人口総数である。,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:大島支庁・三宅支庁・八丈支庁・小笠原支庁　4:区市町村）,,,,,,,,,,,,,
