地域階層,地域コード,地域,人口／総数／平成12（2000）年（人）,人口／総数／平成17（2005）年（人）,人口／総数／平成22（2010）年（人）,人口／総数／平成27（2015）年（人）,人口／総数／令和2（2020）年（人）,人口／総数／増減数／平成12（2000）年～17（2005）年（人）,人口／総数／増減数／平成17（2005）年～22（2010）年（人）,人口／総数／増減数／平成22（2010）年～27（2015）年（人）,人口／総数／増減数／平成27（2015）年～令和2（2020）年（人）,人口／総数／増減率／平成12（2000）年～17（2005）年（％）,人口／総数／増減率／平成17（2005）年～22（2010）年（％）,人口／総数／増減率／平成22（2010）年～27（2015）年（％）,人口／総数／増減率／平成27（2015）年～令和2（2020）年（％）
0,13000,東京都総数,12064101,12576601,13159388,13515271,14047594,512500,582787,355883,532323,4.25,4.63,2.7,3.94
1,13100,区部,8134688,8489653,8945695,9272740,9733276,354965,456042,327045,460536,4.36,5.37,3.66,4.97
4,13101,千代田区,36035,41778,47115,58406,66680,5743,5337,11291,8274,15.94,12.77,23.96,14.17
4,13102,中央区,72526,98399,122762,141183,169179,25873,24363,18421,27996,35.67,24.76,15.01,19.83
4,13103,港区,159398,185861,205131,243283,260486,26463,19270,38152,17203,16.6,10.37,18.6,7.07
4,13104,新宿区,286726,305716,326309,333560,349385,18990,20593,7251,15825,6.62,6.74,2.22,4.74
4,13105,文京区,176017,189632,206626,219724,240069,13615,16994,13098,20345,7.74,8.96,6.34,9.26
4,13106,台東区,156325,165186,175928,198073,211444,8861,10742,22145,13371,5.67,6.5,12.59,6.75
4,13107,墨田区,215979,231173,247606,256274,272085,15194,16433,8668,15811,7.03,7.11,3.5,6.17
4,13108,江東区,376840,420845,460819,498109,524310,44005,39974,37290,26201,11.68,9.5,8.09,5.26
4,13109,品川区,324608,346357,365302,386855,422488,21749,18945,21553,35633,6.7,5.47,5.9,9.21
4,13110,目黒区,250140,264064,268330,277622,288088,13924,4266,9292,10466,5.57,1.62,3.46,3.77
4,13111,大田区,650331,665674,693373,717082,748081,15343,27699,23709,30999,2.36,4.16,3.42,4.32
4,13112,世田谷区,814901,841165,877138,903346,943664,26264,35973,26208,40318,3.22,4.28,2.99,4.46
4,13113,渋谷区,196682,203334,204492,224533,243883,6652,1158,20041,19350,3.38,0.57,9.8,8.62
4,13114,中野区,309526,310627,314750,328215,344880,1101,4123,13465,16665,0.36,1.33,4.28,5.08
4,13115,杉並区,522103,528587,549569,563997,591108,6484,20982,14428,27111,1.24,3.97,2.63,4.81
4,13116,豊島区,249017,250585,284678,291167,301599,1568,34093,6489,10432,0.63,13.61,2.28,3.58
4,13117,北区,326764,330412,335544,341076,355213,3648,5132,5532,14137,1.12,1.55,1.65,4.14
4,13118,荒川区,180468,191207,203296,212264,217475,10739,12089,8968,5211,5.95,6.32,4.41,2.45
4,13119,板橋区,513575,523083,535824,561916,584483,9508,12741,26092,22567,1.85,2.44,4.87,4.02
4,13120,練馬区,658132,692339,716124,721722,752608,34207,23785,5598,30886,5.2,3.44,0.78,4.28
4,13121,足立区,617123,624807,683426,670122,695043,7684,58619,-13304,24921,1.25,9.38,-1.95,3.72
4,13122,葛飾区,421519,424878,442586,442913,453093,3359,17708,327,10180,0.8,4.17,0.07,2.3
4,13123,江戸川区,619953,653944,678967,681298,697932,33991,25023,2331,16634,5.48,3.83,0.34,2.44
1,13200,市部,3841419,3998901,4127128,4157706,4234381,157482,128227,30578,76675,4.1,3.21,0.74,1.84
4,13201,八王子市,536046,560012,580053,577513,579355,23966,20041,-2540,1842,4.47,3.58,-0.44,0.32
4,13202,立川市,164709,172566,179668,176295,183581,7857,7102,-3373,7286,4.77,4.12,-1.88,4.13
4,13203,武蔵野市,135746,137525,138734,144730,150149,1779,1209,5996,5419,1.31,0.88,4.32,3.74
4,13204,三鷹市,171612,177016,186083,186936,195391,5404,9067,853,8455,3.15,5.12,0.46,4.52
4,13205,青梅市,141394,142354,139339,137381,133535,960,-3015,-1958,-3846,0.68,-2.12,-1.41,-2.8
4,13206,府中市,226769,245623,255506,260274,262790,18854,9883,4768,2516,8.31,4.02,1.87,0.97
4,13207,昭島市,106532,110143,112297,111539,113949,3611,2154,-758,2410,3.39,1.96,-0.67,2.16
4,13208,調布市,204759,216119,223593,229061,242614,11360,7474,5468,13553,5.55,3.46,2.45,5.92
4,13209,町田市,377494,405534,426987,432348,431079,28040,21453,5361,-1269,7.43,5.29,1.26,-0.29
4,13210,小金井市,111825,114112,118852,121396,126074,2287,4740,2544,4678,2.05,4.15,2.14,3.85
4,13211,小平市,178623,183796,187035,190005,198739,5173,3239,2970,8734,2.9,1.76,1.59,4.6
4,13212,日野市,167942,176538,180052,186283,190435,8596,3514,6231,4152,5.12,1.99,3.46,2.23
4,13213,東村山市,142290,144929,153557,149956,151815,2639,8628,-3601,1859,1.85,5.95,-2.35,1.24
4,13214,国分寺市,111404,117604,120650,122742,129242,6200,3046,2092,6500,5.57,2.59,1.73,5.3
4,13215,国立市,72187,72667,75510,73655,77130,480,2843,-1855,3475,0.66,3.91,-2.46,4.72
4,13218,福生市,61427,61074,59796,58395,56414,-353,-1278,-1401,-1981,-0.57,-2.09,-2.34,-3.39
4,13219,狛江市,75711,78319,78751,80249,84772,2608,432,1498,4523,3.44,0.55,1.9,5.64
4,13220,東大和市,77212,79353,83068,85157,83901,2141,3715,2089,-1256,2.77,4.68,2.51,-1.47
4,13221,清瀬市,68037,73529,74104,74864,76208,5492,575,760,1344,8.07,0.78,1.03,1.8
4,13222,東久留米市,113302,115330,116546,116632,115271,2028,1216,86,-1361,1.79,1.05,0.07,-1.17
4,13223,武蔵村山市,66052,66553,70053,71229,70829,501,3500,1176,-400,0.76,5.26,1.68,-0.56
4,13224,多摩市,145862,145877,147648,146631,146951,15,1771,-1017,320,0.01,1.21,-0.69,0.22
4,13225,稲城市,69235,76492,84835,87636,93151,7257,8343,2801,5515,10.48,10.91,3.3,6.29
4,13227,羽村市,56013,56514,57032,55833,54326,501,518,-1199,-1507,0.89,0.92,-2.1,-2.7
4,13228,あきる野市,78351,79587,80868,80954,79292,1236,1281,86,-1662,1.58,1.61,0.11,-2.05
4,13229,西東京市,180885,189735,196511,200012,207388,8850,6776,3501,7376,4.89,3.57,1.78,3.69
1,13550,町村部,87994,88047,86565,84825,79937,53,-1482,-1740,-4888,0.06,-1.68,-2.01,-5.76
2,13300,郡部,60354,59303,58750,58334,55476,-1051,-553,-416,-2858,-1.74,-0.93,-0.71,-4.9
4,13303,瑞穂町,32892,33691,33497,33445,31765,799,-194,-52,-1680,2.43,-0.58,-0.16,-5.02
4,13305,日の出町,16631,15941,16650,17446,16958,-690,709,796,-488,-4.15,4.45,4.78,-2.8
4,13307,檜原村,3256,2930,2558,2209,2003,-326,-372,-349,-206,-10.01,-12.7,-13.64,-9.33
4,13308,奥多摩町,7575,6741,6045,5234,4750,-834,-696,-811,-484,-11.01,-10.32,-13.42,-9.25
2,13350,島部,27640,28744,27815,26491,24461,1104,-929,-1324,-2030,3.99,-3.23,-4.76,-7.66
3,13360,大島支庁,14817,14239,13574,12861,11725,-578,-665,-713,-1136,-3.9,-4.67,-5.25,-8.83
4,13361,大島町,9224,8702,8461,7884,7102,-522,-241,-577,-782,-5.66,-2.77,-6.82,-9.92
4,13362,利島村,302,308,341,337,327,6,33,-4,-10,1.99,10.71,-1.17,-2.97
4,13363,新島村,3147,3161,2883,2749,2441,14,-278,-134,-308,0.44,-8.79,-4.65,-11.2
4,13364,神津島村,2144,2068,1889,1891,1855,-76,-179,2,-36,-3.54,-8.66,0.11,-1.9
3,13380,三宅支庁,308,2731,3024,2817,2596,2423,293,-207,-221,786.69,10.73,-6.85,-7.85
4,13381,三宅村,-,2439,2676,2482,2273,2439,237,-194,-209,-,9.72,-7.25,-8.42
4,13382,御蔵島村,308,292,348,335,323,-16,56,-13,-12,-5.19,19.18,-3.74,-3.58
3,13400,八丈支庁,9691,9051,8432,7791,7211,-640,-619,-641,-580,-6.6,-6.84,-7.6,-7.44
4,13401,八丈町,9488,8837,8231,7613,7042,-651,-606,-618,-571,-6.86,-6.86,-7.51,-7.5
4,13402,青ヶ島村,203,214,201,178,169,11,-13,-23,-9,5.42,-6.07,-11.44,-5.06
3,13420,小笠原支庁,2824,2723,2785,3022,2929,-101,62,237,-93,-3.58,2.28,8.51,-3.08
4,13421,小笠原村,2824,2723,2785,3022,2929,-101,62,237,-93,-3.58,2.28,8.51,-3.08
,,,,,,,,,,,,,,,
令和2年国勢調査  人口等基本集計,,,,,,,,,,,,,,,
第４表　区市町村別人口、増減数及び増減率の推移（平成12年～令和2年）,,,,,,,,,,,,,,,
注）表章年次の期間中に市町村合併があった地域については、合併前の年次についても最新年次時点における地域（合併後）で集計を行っている。,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・町村部　2:郡部・島部　3:大島支庁・三宅支庁・八丈支庁・小笠原支庁　4:区市町村）,,,,,,,,,,,,,,,
