事業所規模,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５～29人,平成17,2005,年平均,407107,345694,332356,13338,61413,99747,98127,95603,2524,1620
５～29人,平成18,2006,年平均,407888,345246,330375,14871,62642,98940,96931,94339,2592,2009
５～29人,平成19,2007,年平均,412032,344475,329950,14525,67557,93397,91497,89304,2193,1900
５～29人,平成20,2008,年平均,401618,341196,325992,15204,60422,94004,92337,89583,2754,1667
５～29人,平成20,2008,1月,360294,346373,332280,14093,13921,87773,86599,84419,2180,1174
５～29人,平成20,2008,2月,355918,347670,332059,15611,8248,92399,92163,89569,2594,236
５～29人,平成20,2008,3月,364385,345786,329260,16526,18599,91468,90913,88221,2692,555
５～29人,平成20,2008,4月,358418,347318,331323,15995,11100,93920,93575,90784,2791,345
５～29人,平成20,2008,5月,350525,343209,328712,14497,7316,92564,92430,89590,2840,134
５～29人,平成20,2008,6月,494720,342990,328107,14883,151730,97715,95063,92560,2503,2652
５～29人,平成20,2008,7月,495902,338688,322960,15728,157214,99098,94293,91275,3018,4805
５～29人,平成20,2008,8月,352032,334778,320032,14746,17254,93346,92934,89739,3195,412
５～29人,平成20,2008,9月,341877,336338,321988,14350,5539,92542,92288,89492,2796,254
５～29人,平成20,2008,10月,344817,338619,322977,15642,6198,93167,92891,90079,2812,276
５～29人,平成20,2008,11月,349080,336013,320829,15184,13067,93561,92612,89882,2730,949
５～29人,平成20,2008,12月,649156,336938,321722,15216,312218,100522,92379,89459,2920,8143
30～99人,平成17,2005,年平均,500758,398202,372831,25371,102556,105783,101649,97987,3662,4134
30～99人,平成18,2006,年平均,497801,392048,364743,27305,105753,108428,105198,100988,4210,3230
30～99人,平成19,2007,年平均,501143,391987,368257,23730,109156,109626,106553,102293,4260,3073
30～99人,平成20,2008,年平均,516826,402253,379670,22583,114573,114241,109100,104696,4404,5141
30～99人,平成20,2008,1月,408025,400433,377811,22622,7592,105663,105444,100725,4719,219
30～99人,平成20,2008,2月,406163,401661,380046,21615,4502,109972,109604,105184,4420,368
30～99人,平成20,2008,3月,474661,406893,382988,23905,67768,114108,110041,105759,4282,4067
30～99人,平成20,2008,4月,441757,408562,384550,24012,33195,112409,111096,106518,4578,1313
30～99人,平成20,2008,5月,432696,403298,381089,22209,29398,110026,109689,105173,4516,337
30～99人,平成20,2008,6月,828229,401779,380397,21382,426450,128441,111766,107541,4225,16675
30～99人,平成20,2008,7月,531310,402584,380034,22550,128726,117327,110578,106108,4470,6749
30～99人,平成20,2008,8月,411777,400604,378399,22205,11173,112569,112302,107588,4714,267
30～99人,平成20,2008,9月,492192,401217,379827,21390,90975,108374,107842,103878,3964,532
30～99人,平成20,2008,10月,412703,400963,378364,22599,11740,108814,107985,103809,4176,829
30～99人,平成20,2008,11月,457484,398895,375755,23140,58589,106954,105804,101836,3968,1150
30～99人,平成20,2008,12月,889568,400536,377143,23393,489032,136166,107198,102388,4810,28968
100～499人,平成17,2005,年平均,542572,419660,385604,34056,122912,126312,121330,113985,7345,4982
100～499人,平成18,2006,年平均,551775,421801,387852,33949,129974,128526,123904,114991,8913,4622
100～499人,平成19,2007,年平均,538231,412197,379284,32913,126034,136902,132189,124848,7341,4713
100～499人,平成20,2008,年平均,545772,414482,381644,32838,131290,137542,132395,124882,7513,5147
100～499人,平成20,2008,1月,434474,414806,383761,31045,19668,127976,127542,120188,7354,434
100～499人,平成20,2008,2月,475887,417555,383950,33605,58332,133511,133355,126075,7280,156
100～499人,平成20,2008,3月,478936,419855,385432,34423,59081,136144,134364,125482,8882,1780
100～499人,平成20,2008,4月,437825,421099,385196,35903,16726,137536,136601,127798,8803,935
100～499人,平成20,2008,5月,436082,412575,379182,33393,23507,134619,132106,124511,7595,2513
100～499人,平成20,2008,6月,891138,410772,378755,32017,480366,147158,132547,124955,7592,14611
100～499人,平成20,2008,7月,576476,412897,379697,33200,163579,148931,135473,127768,7705,13458
100～499人,平成20,2008,8月,441391,412436,380486,31950,28955,133995,133830,126712,7118,165
100～499人,平成20,2008,9月,422931,413619,383502,30117,9312,129930,129585,122598,6987,345
100～499人,平成20,2008,10月,420406,411557,378921,32636,8849,130757,130455,123728,6727,302
100～499人,平成20,2008,11月,441961,413685,380024,33661,28276,131135,130382,123605,6777,753
100～499人,平成20,2008,12月,1088372,413082,380941,32141,675290,157952,132407,125067,7340,25545
500人以上,平成17,2005,年平均,648681,476232,435321,40911,172449,128404,122943,115333,7610,5461
500人以上,平成18,2006,年平均,652924,468376,427136,41240,184548,127157,122508,115593,6915,4649
500人以上,平成19,2007,年平均,632173,458168,416865,41303,174005,121643,115131,107845,7286,6512
500人以上,平成20,2008,年平均,637798,461475,420291,41184,176323,125162,117923,110811,7112,7239
500人以上,平成20,2008,1月,544199,456587,418425,38162,87612,115878,112976,105341,7635,2902
500人以上,平成20,2008,2月,509842,460373,420333,40040,49469,112832,111527,104832,6695,1305
500人以上,平成20,2008,3月,495068,464213,421410,42803,30855,117199,114048,106708,7340,3151
500人以上,平成20,2008,4月,484379,464024,421346,42678,20355,119972,116459,109092,7367,3513
500人以上,平成20,2008,5月,490130,457395,416818,40577,32735,120001,116251,109121,7130,3750
500人以上,平成20,2008,6月,1239296,459045,418638,40407,780251,134260,117045,110447,6598,17215
500人以上,平成20,2008,7月,615658,461452,418766,42686,154206,133721,120076,113107,6969,13645
500人以上,平成20,2008,8月,474751,461045,420434,40611,13706,120539,119450,112408,7042,1089
500人以上,平成20,2008,9月,477716,462629,423783,38846,15087,117231,116119,109273,6846,1112
500人以上,平成20,2008,10月,483093,464651,421696,42955,18442,121193,118861,112032,6829,2332
500人以上,平成20,2008,11月,514084,464002,420422,43580,50082,125810,121685,115058,6627,4125
500人以上,平成20,2008,12月,1316750,462352,421504,40848,854398,159371,129151,120980,8171,30220
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成20年確報,,,,,,,,,,,,,
第４表　規模、就業形態別労働者の一人平均月間現金給与額（調査産業計）,,,,,,,,,,,,,
