事業所規模,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５～29人,平成18,2006,年平均,407888,345246,330375,14871,62642,98940,96931,94339,2592,2009
５～29人,平成19,2007,年平均,412032,344475,329950,14525,67557,93397,91497,89304,2193,1900
５～29人,平成20,2008,年平均,401618,341196,325992,15204,60422,94004,92337,89583,2754,1667
５～29人,平成21,2009,年平均,391670,338196,323212,14984,53474,93506,91843,88927,2916,1663
５～29人,平成22,2010,年平均,395590,339112,324144,14968,56478,97931,96437,93715,2722,1494
５～29人,平成23,2011,年平均,383836,334389,319097,15292,49447,94912,93647,91814,1833,1265
５～29人,平成24,2012,年平均,386281,338211,321852,16359,48070,95437,93885,91584,2301,1552
５～29人,平成24,2012,1月,353378,336788,321201,15587,16590,92088,91495,89001,2494,593
５～29人,平成24,2012,2月,338377,335352,318437,16915,3025,94599,94396,92385,2011,203
５～29人,平成24,2012,3月,351883,337998,320441,17557,13885,95166,94465,92295,2170,701
５～29人,平成24,2012,4月,353703,342830,325573,17257,10873,95387,94883,92696,2187,504
５～29人,平成24,2012,5月,351873,336871,320516,16355,15002,94678,94481,92380,2101,197
５～29人,平成24,2012,6月,456096,338640,322397,16243,117456,100126,96024,93777,2247,4102
５～29人,平成24,2012,7月,439458,338075,322668,15407,101383,97372,95269,92780,2489,2103
５～29人,平成24,2012,8月,361057,336718,321049,15669,24339,95330,94704,92442,2262,626
５～29人,平成24,2012,9月,341741,337126,321738,15388,4615,92580,92418,90205,2213,162
５～29人,平成24,2012,10月,344289,338844,322660,16184,5445,92311,92032,89714,2318,279
５～29人,平成24,2012,11月,350053,339227,322391,16836,10826,94512,93274,90902,2372,1238
５～29人,平成24,2012,12月,593327,340104,323183,16921,253223,101150,93310,90578,2732,7840
30～99人,平成18,2006,年平均,497801,392048,364743,27305,105753,108428,105198,100988,4210,3230
30～99人,平成19,2007,年平均,501143,391987,368257,23730,109156,109626,106553,102293,4260,3073
30～99人,平成20,2008,年平均,516826,402253,379670,22583,114573,114241,109100,104696,4404,5141
30～99人,平成21,2009,年平均,468157,379528,358021,21507,88629,101590,98845,95158,3687,2745
30～99人,平成22,2010,年平均,459208,374094,352364,21730,85114,104175,100434,96717,3717,3741
30～99人,平成23,2011,年平均,463162,375395,352778,22617,87767,106400,102955,99190,3765,3445
30～99人,平成24,2012,年平均,437295,356300,329956,26344,80995,111075,107980,104662,3318,3095
30～99人,平成24,2012,1月,368252,356692,331333,25359,11560,102837,102201,98898,3303,636
30～99人,平成24,2012,2月,362592,358056,332034,26022,4536,106242,105814,102826,2988,428
30～99人,平成24,2012,3月,407654,359070,331574,27496,48584,109076,107645,104913,2732,1431
30～99人,平成24,2012,4月,375334,361128,334087,27041,14206,109293,107749,104642,3107,1544
30～99人,平成24,2012,5月,362787,352505,327169,25336,10282,107788,107571,104602,2969,217
30～99人,平成24,2012,6月,617293,357923,331585,26338,259370,115972,109841,106939,2902,6131
30～99人,平成24,2012,7月,501108,354970,328865,26105,146138,116489,109296,105224,4072,7193
30～99人,平成24,2012,8月,367268,355759,330295,25464,11509,109460,109070,105336,3734,390
30～99人,平成24,2012,9月,364478,354119,327946,26173,10359,108416,107599,104267,3332,817
30～99人,平成24,2012,10月,377211,355046,329677,25369,22165,108484,107338,103871,3467,1146
30～99人,平成24,2012,11月,372645,353851,326850,27001,18794,113316,112604,109317,3287,712
30～99人,平成24,2012,12月,772866,356498,328029,28469,416368,125373,109066,105149,3917,16307
100～499人,平成18,2006,年平均,551775,421801,387852,33949,129974,128526,123904,114991,8913,4622
100～499人,平成19,2007,年平均,538231,412197,379284,32913,126034,136902,132189,124848,7341,4713
100～499人,平成20,2008,年平均,545772,414482,381644,32838,131290,137542,132395,124882,7513,5147
100～499人,平成21,2009,年平均,515231,404355,373712,30643,110876,126809,122769,117047,5722,4040
100～499人,平成22,2010,年平均,520589,406433,375697,30736,114156,121530,117949,112483,5466,3581
100～499人,平成23,2011,年平均,519146,403489,373517,29972,115657,118737,115030,109741,5289,3707
100～499人,平成24,2012,年平均,508285,402423,369816,32607,105862,124651,120411,114611,5800,4240
100～499人,平成24,2012,1月,407359,398327,365970,32357,9032,118721,117307,111675,5632,1414
100～499人,平成24,2012,2月,406488,401344,368610,32734,5144,118876,118115,112762,5353,761
100～499人,平成24,2012,3月,442655,404989,371079,33910,37666,124241,122375,116581,5794,1866
100～499人,平成24,2012,4月,437055,409125,374780,34345,27930,124913,122492,116565,5927,2421
100～499人,平成24,2012,5月,415123,399896,367762,32134,15227,119186,118198,112474,5724,988
100～499人,平成24,2012,6月,802268,402378,368894,33484,399890,131706,121112,115480,5632,10594
100～499人,平成24,2012,7月,525374,401424,370074,31350,123950,130001,123052,117372,5680,6949
100～499人,平成24,2012,8月,412977,399955,369316,30639,13022,121579,120024,114435,5589,1555
100～499人,平成24,2012,9月,449097,398309,366955,31354,50788,119716,118115,112895,5220,1601
100～499人,平成24,2012,10月,421894,404886,373962,30924,17008,120484,119396,113523,5873,1088
100～499人,平成24,2012,11月,431680,402558,368621,33937,29122,124840,123103,116990,6113,1737
100～499人,平成24,2012,12月,952392,406000,371848,34152,546392,140801,121454,114449,7005,19347
500人以上,平成18,2006,年平均,652924,468376,427136,41240,184548,127157,122508,115593,6915,4649
500人以上,平成19,2007,年平均,632173,458168,416865,41303,174005,121643,115131,107845,7286,6512
500人以上,平成20,2008,年平均,637798,461475,420291,41184,176323,125162,117923,110811,7112,7239
500人以上,平成21,2009,年平均,625379,474840,435263,39577,150539,157939,153634,146091,7543,4305
500人以上,平成22,2010,年平均,640426,480638,439925,40713,159788,161993,158044,147883,10161,3949
500人以上,平成23,2011,年平均,649369,483276,442072,41204,166093,164662,160337,150205,10132,4325
500人以上,平成24,2012,年平均,640525,486651,445847,40804,153874,134299,129245,121773,7472,5054
500人以上,平成24,2012,1月,496311,482904,443124,39780,13407,129751,128159,120770,7389,1592
500人以上,平成24,2012,2月,505925,488743,447694,41049,17182,129536,128603,121033,7570,933
500人以上,平成24,2012,3月,526712,492061,449109,42952,34651,134659,128323,120371,7952,6336
500人以上,平成24,2012,4月,510858,495562,451763,43799,15296,134009,131828,124375,7453,2181
500人以上,平成24,2012,5月,514724,479194,438033,41161,35530,138988,137773,129997,7776,1215
500人以上,平成24,2012,6月,1138157,482820,442770,40050,655337,144217,130221,122597,7624,13996
500人以上,平成24,2012,7月,666896,484279,444442,39837,182617,136948,130145,123097,7048,6803
500人以上,平成24,2012,8月,499217,480881,441143,39738,18336,131462,130158,122876,7282,1304
500人以上,平成24,2012,9月,508144,484636,446379,38257,23508,129358,125538,118885,6653,3820
500人以上,平成24,2012,10月,501208,489239,449703,39536,11969,129851,127738,120238,7500,2113
500人以上,平成24,2012,11月,504963,488827,446781,42046,16136,130006,128851,121168,7683,1155
500人以上,平成24,2012,12月,1306701,490841,449379,41462,815860,142379,123762,116001,7761,18617
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成24年年報,,,,,,,,,,,,,
第４表　規模、就業形態別労働者の１人平均月間現金給与額　（調査産業計）,,,,,,,,,,,,,
