事業所規模,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５～29人,平成27,2015,年平均,406457,346231,328027,18204,60226,96013,94175,91106,3069,1838
５～29人,平成28,2016,年平均,412885,348954,330863,18091,63931,95398,93611,90679,2932,1787
５～29人,平成29,2017,年平均,420953,354573,334889,19684,66380,96034,94473,91457,3016,1561
５～29人,平成30,2018,年平均,424050,358665,340434,18231,65385,95377,93655,90595,3060,1722
５～29人,平成31・令和元,2019,年平均,429006,359987,341576,18411,69019,94982,93482,90547,2935,1500
５～29人,令和２,2020,年平均,413984,352394,335707,16687,61590,93231,91354,88983,2371,1877
５～29人,令和２,2020,1月,370762,355279,337172,18107,15483,93837,93087,90171,2916,750
５～29人,令和２,2020,2月,366139,356248,336064,20184,9891,93834,93383,90466,2917,451
５～29人,令和２,2020,3月,379863,358416,338252,20164,21447,92267,91277,88519,2758,990
５～29人,令和２,2020,4月,376410,354252,338421,15831,22158,87731,86238,84239,1999,1493
５～29人,令和２,2020,5月,361226,347003,335308,11695,14223,82840,81176,79464,1712,1664
５～29人,令和２,2020,6月,511040,351643,338492,13151,159397,95768,91919,90155,1764,3849
５～29人,令和２,2020,7月,493880,351000,335385,15615,142880,97657,93915,91880,2035,3742
５～29人,令和２,2020,8月,366209,347649,331190,16459,18560,91577,90835,88600,2235,742
５～29人,令和２,2020,9月,360106,349079,332068,17011,11027,94189,93599,91276,2323,590
５～29人,令和２,2020,10月,357446,351326,333852,17474,6120,94777,94404,91824,2580,373
５～29人,令和２,2020,11月,373686,353695,336343,17352,19991,93238,92723,90159,2564,515
５～29人,令和２,2020,12月,653218,353127,335914,17213,300091,101223,93573,91067,2506,7650
30～99人,平成27,2015,年平均,466531,378242,353406,24836,88289,101049,98519,95290,3229,2530
30～99人,平成28,2016,年平均,469189,379058,354868,24190,90131,108359,105163,102127,3036,3196
30～99人,平成29,2017,年平均,484310,386098,362415,23683,98212,109703,107083,104394,2689,2620
30～99人,平成30,2018,年平均,470650,379764,354540,25224,90886,104105,101706,98703,3003,2399
30～99人,平成31・令和元,2019,年平均,477645,379263,350196,29067,98382,102617,99884,96392,3492,2733
30～99人,令和２,2020,年平均,461437,368832,344047,24785,92605,103172,99736,96941,2795,3436
30～99人,令和２,2020,1月,422238,375860,349694,26166,46378,101829,100924,97104,3820,905
30～99人,令和２,2020,2月,396386,374702,347518,27184,21684,103390,102639,99195,3444,751
30～99人,令和２,2020,3月,406479,374137,347739,26398,32342,106795,99222,95264,3958,7573
30～99人,令和２,2020,4月,395857,370733,346972,23761,25124,89922,88752,86705,2047,1170
30～99人,令和２,2020,5月,384802,360452,341037,19415,24350,94287,93086,91196,1890,1201
30～99人,令和２,2020,6月,670861,366997,344050,22947,303864,112439,102644,100254,2390,9795
30～99人,令和２,2020,7月,503358,371296,345521,25775,132062,105336,102472,100022,2450,2864
30～99人,令和２,2020,8月,381930,366120,340108,26012,15810,95697,94603,91779,2824,1094
30～99人,令和２,2020,9月,389771,368029,342829,25200,21742,104555,103170,100761,2409,1385
30～99人,令和２,2020,10月,374513,367524,342519,25005,6989,103869,103422,100888,2534,447
30～99人,令和２,2020,11月,395544,365081,339981,25100,30463,104890,104448,101757,2691,442
30～99人,令和２,2020,12月,814145,365263,340661,24602,448882,115151,101181,98274,2907,13970
100～499人,平成27,2015,年平均,526365,409821,378501,31320,116544,126580,122416,117655,4761,4164
100～499人,平成28,2016,年平均,528467,408695,377384,31311,119772,120832,117142,112247,4895,3690
100～499人,平成29,2017,年平均,526764,409388,377749,31639,117376,124026,119935,114893,5042,4091
100～499人,平成30,2018,年平均,527074,408702,380640,28062,118372,128763,125234,119753,5481,3529
100～499人,平成31・令和元,2019,年平均,535113,414462,385443,29019,120651,135763,131998,126600,5398,3765
100～499人,令和２,2020,年平均,520688,409067,381770,27297,111621,131085,126701,121514,5187,4384
100～499人,令和２,2020,1月,431966,413609,383923,29686,18357,129476,127468,121986,5482,2008
100～499人,令和２,2020,2月,430996,414544,384977,29567,16452,125564,124943,120029,4914,621
100～499人,令和２,2020,3月,507481,416539,387183,29356,90942,125305,122106,117317,4789,3199
100～499人,令和２,2020,4月,457970,417725,389275,28450,40245,120897,118550,114462,4088,2347
100～499人,令和２,2020,5月,422229,397929,375411,22518,24300,122116,120977,116863,4114,1139
100～499人,令和２,2020,6月,801352,401744,379728,22016,399608,139969,125616,120889,4727,14353
100～499人,令和２,2020,7月,541954,403495,377287,26208,138459,135141,128187,123368,4819,6954
100～499人,令和２,2020,8月,414551,403209,376120,27089,11342,129120,128344,122651,5693,776
100～499人,令和２,2020,9月,429225,411633,385899,25734,17592,130923,129775,123953,5822,1148
100～499人,令和２,2020,10月,418711,407463,379364,28099,11248,135494,133780,127748,6032,1714
100～499人,令和２,2020,11月,440862,412171,381980,30191,28691,131114,129800,123679,6121,1314
100～499人,令和２,2020,12月,945198,409172,380328,28844,536026,149516,131528,125871,5657,17988
500人以上,平成27,2015,年平均,617118,458427,418657,39770,158691,137059,133192,125668,7524,3867
500人以上,平成28,2016,年平均,622429,460330,421093,39237,162099,133921,130001,123229,6772,3920
500人以上,平成29,2017,年平均,620864,456202,419895,36307,164662,133293,129483,123383,6100,3810
500人以上,平成30,2018,年平均,643622,464737,427814,36923,178885,161171,156929,147461,9468,4242
500人以上,平成31・令和元,2019,年平均,626761,462551,423397,39154,164210,150537,146895,138595,8300,3642
500人以上,令和２,2020,年平均,617491,461698,425463,36235,155793,137844,133440,127142,6298,4404
500人以上,令和２,2020,1月,480544,456973,419553,37420,23571,134033,132966,126162,6804,1067
500人以上,令和２,2020,2月,477562,461168,423662,37506,16394,132197,130921,124178,6743,1276
500人以上,令和２,2020,3月,526945,464707,425647,39060,62238,131130,128193,121526,6667,2937
500人以上,令和２,2020,4月,496366,471194,433459,37735,25172,133830,132219,125649,6570,1611
500人以上,令和２,2020,5月,501392,453666,421460,32206,47726,130605,127951,122282,5669,2654
500人以上,令和２,2020,6月,1081031,453797,422392,31405,627234,144082,132065,126265,5800,12017
500人以上,令和２,2020,7月,685712,459117,422399,36718,226595,142763,138349,132215,6134,4414
500人以上,令和２,2020,8月,474762,460724,424286,36438,14038,135918,134249,127906,6343,1669
500人以上,令和２,2020,9月,485563,461589,428011,33578,23974,139079,136943,131071,5872,2136
500人以上,令和２,2020,10月,489916,464791,427928,36863,25125,138580,137064,131190,5874,1516
500人以上,令和２,2020,11月,504748,466483,427820,38663,38265,139287,137260,130848,6412,2027
500人以上,令和２,2020,12月,1201525,466370,428945,37425,735155,153915,134167,127627,6540,19748
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年年報,,,,,,,,,,,,,
第４表　規模、就業形態別常用労働者の１人平均月間現金給与額（調査産業計）,,,,,,,,,,,,,
