年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成22年平均,2010,,349,715,576,353,1014,261,170,287,410,204,288,531,545
実数／男女計／平成23年平均,2011,,368,730,577,340,1093,281,200,299,403,223,301,576,589
実数／男女計／平成24年平均,2012,,372,713,565,319,1082,274,197,304,428,221,298,604,611
実数／男女計／平成23年４～６月平均,2011,04～06,362,757,536,332,1101,302,224,311,369,203,288,561,615
実数／男女計／平成23年７～９月平均,2011,07～09,360,725,601,333,1096,299,183,276,407,222,269,573,575
実数／男女計／平成23年10～12月平均,2011,10～12,373,725,621,326,1051,266,203,314,420,241,348,576,595
実数／男女計／平成24年１～３月平均,2012,01～03,363,680,567,318,1119,271,190,295,435,211,298,633,627
実数／男女計／平成24年４～６月平均,2012,04～06,395,734,536,333,1080,274,213,300,399,213,318,584,606
実数／男女計／平成24年７～９月平均,2012,07～09,366,677,595,317,1117,251,194,321,445,239,263,595,616
実数／男女計／平成24年10～12月平均,2012,10～12,364,762,562,307,1012,300,192,301,435,221,314,604,596
実数／男女計／平成25年１～３月平均,2013,01～03,373,663,554,345,1082,312,189,287,423,191,340,686,519
実数／男女計／平成25年４～６月平均,2013,04～06,387,685,602,373,1063,276,206,358,410,229,353,623,499
実数／男女計／平成25年７～９月平均,2013,07～09,303,691,638,342,1161,254,178,325,435,202,321,659,483
実数／男／平成22年平均,2010,,298,513,428,272,531,129,107,179,195,90,137,137,281
実数／男／平成23年平均,2011,,301,509,410,272,554,145,133,194,184,104,140,153,317
実数／男／平成24年平均,2012,,305,515,406,254,546,145,132,185,191,104,139,166,331
実数／男／平成23年４～６月平均,2011,04～06,298,521,372,266,562,162,151,208,175,102,126,143,317
実数／男／平成23年７～９月平均,2011,07～09,292,514,422,280,565,157,120,182,194,105,135,136,324
実数／男／平成23年10～12月平均,2011,10～12,307,490,448,262,535,133,136,205,210,111,165,160,315
実数／男／平成24年１～３月平均,2012,01～03,292,494,417,251,561,145,124,166,179,112,132,173,341
実数／男／平成24年４～６月平均,2012,04～06,334,529,380,269,551,148,150,192,175,102,146,165,305
実数／男／平成24年７～９月平均,2012,07～09,297,494,418,253,581,131,129,200,203,104,127,157,337
実数／男／平成24年10～12月平均,2012,10～12,296,544,410,242,492,158,126,182,208,98,150,168,340
実数／男／平成25年１～３月平均,2013,01～03,308,493,381,271,544,157,115,167,198,96,158,186,314
実数／男／平成25年４～６月平均,2013,04～06,326,535,428,321,498,130,131,241,177,101,153,161,286
実数／男／平成25年７～９月平均,2013,07～09,249,497,456,269,590,123,103,202,201,86,171,173,281
実数／女／平成22年平均,2010,,51,202,148,81,483,132,63,108,216,115,151,394,264
実数／女／平成23年平均,2011,,67,221,167,68,539,136,66,105,220,119,161,422,271
実数／女／平成24年平均,2012,,67,198,159,65,536,128,65,119,237,117,159,438,280
実数／女／平成23年４～６月平均,2011,04～06,64,236,163,65,539,140,73,104,195,102,162,418,298
実数／女／平成23年７～９月平均,2011,07～09,68,211,179,52,531,142,62,94,213,117,133,437,251
実数／女／平成23年10～12月平均,2011,10～12,66,235,173,64,515,134,67,109,211,130,183,416,280
実数／女／平成24年１～３月平均,2012,01～03,71,186,150,67,558,126,65,129,255,99,166,460,286
実数／女／平成24年４～６月平均,2012,04～06,62,205,156,64,529,126,63,108,224,111,172,419,301
実数／女／平成24年７～９月平均,2012,07～09,69,183,177,64,536,120,65,121,242,135,136,438,279
実数／女／平成24年10～12月平均,2012,10～12,68,218,152,65,520,142,65,118,228,123,165,436,256
実数／女／平成25年１～３月平均,2013,01～03,65,170,172,74,538,156,74,119,225,95,183,500,205
実数／女／平成25年４～６月平均,2013,04～06,61,151,174,52,565,146,75,117,233,128,200,462,214
実数／女／平成25年７～９月平均,2013,07～09,54,193,182,72,571,132,74,124,234,116,150,486,203
対前年・前年同期増減数／男女計／平成22年平均,2010,,-43,-51,37,16,-36,-2,-5,14,6,-8,3,24,-7
対前年・前年同期増減数／男女計／平成23年平均,2011,,19,15,1,-13,79,20,30,12,-7,19,13,45,44
対前年・前年同期増減数／男女計／平成24年平均,2012,,4,-17,-12,-21,-11,-7,-3,5,25,-2,-3,28,22
対前年・前年同期増減数／男女計／平成23年４～６月平均,2011,04～06,30,37,-39,30,122,25,56,25,-85,-6,6,41,73
対前年・前年同期増減数／男女計／平成23年７～９月平均,2011,07～09,36,6,35,-41,120,9,17,12,5,9,-9,7,36
対前年・前年同期増減数／男女計／平成23年10～12月平均,2011,10～12,27,14,26,-40,23,27,30,17,15,31,43,57,18
対前年・前年同期増減数／男女計／平成24年１～３月平均,2012,01～03,-14,-34,19,-50,-5,15,1,2,19,-16,-3,41,58
対前年・前年同期増減数／男女計／平成24年４～６月平均,2012,04～06,33,-23,0,1,-21,-28,-11,-11,30,10,30,23,-9
対前年・前年同期増減数／男女計／平成24年７～９月平均,2012,07～09,6,-48,-6,-16,21,-48,11,45,38,17,-6,22,41
対前年・前年同期増減数／男女計／平成24年10～12月平均,2012,10～12,-9,37,-59,-19,-39,34,-11,-13,15,-20,-34,28,1
対前年・前年同期増減数／男女計／平成25年１～３月平均,2013,01～03,10,-17,-13,27,-37,41,-1,-8,-12,-20,42,53,-108
対前年・前年同期増減数／男女計／平成25年４～６月平均,2013,04～06,-8,-49,66,40,-17,2,-7,58,11,16,35,39,-107
対前年・前年同期増減数／男女計／平成25年７～９月平均,2013,07～09,-63,14,43,25,44,3,-16,4,-10,-37,58,64,-133
対前年・前年同期増減数／男／平成22年平均,2010,,-30,-53,29,11,-27,-11,-3,8,4,-3,1,10,-3
対前年・前年同期増減数／男／平成23年平均,2011,,3,-4,-18,0,23,16,26,15,-11,14,3,16,36
対前年・前年同期増減数／男／平成24年平均,2012,,4,6,-4,-18,-8,0,-1,-9,7,0,-1,13,14
対前年・前年同期増減数／男／平成23年４～６月平均,2011,04～06,23,5,-61,19,64,21,46,33,-53,10,-2,18,37
対前年・前年同期増減数／男／平成23年７～９月平均,2011,07～09,13,18,-3,-39,43,3,16,10,-2,14,5,-15,47
対前年・前年同期増減数／男／平成23年10～12月平均,2011,10～12,7,-19,5,5,2,24,17,14,22,11,9,36,18
対前年・前年同期増減数／男／平成24年１～３月平均,2012,01～03,-17,-19,20,-26,7,16,-2,-14,24,13,-3,-1,27
対前年・前年同期増減数／男／平成24年４～６月平均,2012,04～06,36,8,8,3,-11,-14,-1,-16,0,0,20,22,-12
対前年・前年同期増減数／男／平成24年７～９月平均,2012,07～09,5,-20,-4,-27,16,-26,9,18,9,-1,-8,21,13
対前年・前年同期増減数／男／平成24年10～12月平均,2012,10～12,-11,54,-38,-20,-43,25,-10,-23,-2,-13,-15,8,25
対前年・前年同期増減数／男／平成25年１～３月平均,2013,01～03,16,-1,-36,20,-17,12,-9,1,19,-16,26,13,-27
対前年・前年同期増減数／男／平成25年４～６月平均,2013,04～06,-8,6,48,52,-53,-18,-19,49,2,-1,7,-4,-19
対前年・前年同期増減数／男／平成25年７～９月平均,2013,07～09,-48,3,38,16,9,-8,-26,2,-2,-18,44,16,-56
対前年・前年同期増減数／女／平成22年平均,2010,,-12,2,7,6,-10,8,-2,6,2,-4,1,14,-4
対前年・前年同期増減数／女／平成23年平均,2011,,16,19,19,-13,56,4,3,-3,4,4,10,28,7
対前年・前年同期増減数／女／平成24年平均,2012,,0,-23,-8,-3,-3,-8,-1,14,17,-2,-2,16,9
対前年・前年同期増減数／女／平成23年４～６月平均,2011,04～06,6,32,21,10,58,4,10,-6,-31,-14,8,23,37
対前年・前年同期増減数／女／平成23年７～９月平均,2011,07～09,23,-12,39,-4,77,6,-1,2,8,-6,-16,22,-11
対前年・前年同期増減数／女／平成23年10～12月平均,2011,10～12,20,33,20,-45,20,4,13,2,-6,21,34,21,0
対前年・前年同期増減数／女／平成24年１～３月平均,2012,01～03,2,-15,-1,-24,-12,-1,2,16,-6,-29,0,42,31
対前年・前年同期増減数／女／平成24年４～６月平均,2012,04～06,-2,-31,-7,-1,-10,-14,-10,4,29,9,10,1,3
対前年・前年同期増減数／女／平成24年７～９月平均,2012,07～09,1,-28,-2,12,5,-22,3,27,29,18,3,1,28
対前年・前年同期増減数／女／平成24年10～12月平均,2012,10～12,2,-17,-21,1,5,8,-2,9,17,-7,-18,20,-24
対前年・前年同期増減数／女／平成25年１～３月平均,2013,01～03,-6,-16,22,7,-20,30,9,-10,-30,-4,17,40,-81
対前年・前年同期増減数／女／平成25年４～６月平均,2013,04～06,-1,-54,18,-12,36,20,12,9,9,17,28,43,-87
対前年・前年同期増減数／女／平成25年７～９月平均,2013,07～09,-15,10,5,8,35,12,9,3,-8,-19,14,48,-76
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成25年７～９月平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数 ,,,,,,,,,,,,,,,
