分類コード／部門名,従業者総数（人）,個人業主（人）,家族従業者（人）,有給役員 雇用者（人）,有給役員 雇用者／有給役員（人）,有給役員 雇用者／雇用者（人）,有給役員 雇用者／雇用者／常用雇用者（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員以外（人）,有給役員 雇用者／雇用者／臨時雇用者（人）
Ｋ011／耕種農業,12887,7799,2947,2141,520,1621,1360,768,592,261
Ｋ012／畜産,160,75,46,39,4,35,26,19,7,9
Ｋ013／農業サービス,3502,672,181,2649,126,2523,2450,1807,643,73
Ｋ015／林業,323,188,46,89,10,79,69,50,19,10
Ｋ017／漁業,1697,294,109,1294,165,1129,1005,925,80,124
Ｋ061／金属鉱物,0,0,0,0,0,0,0,0,0,0
Ｋ062／石炭・原油・天然ガス,1,0,0,1,0,1,1,1,0,0
Ｋ063／非金属鉱物,518,22,0,496,103,393,379,340,39,14
Ｋ111／食料品,40066,772,210,39084,2780,36304,33273,21291,11982,3031
Ｋ112／飲料,1803,22,5,1776,62,1714,1520,1363,157,194
Ｋ113／飼料・有機質肥料（別掲を除く。）,252,2,1,249,9,240,229,206,23,11
Ｋ114／たばこ,141,0,0,141,15,126,126,113,13,0
Ｋ151／繊維工業製品,1400,178,68,1154,89,1065,983,733,250,82
Ｋ152／衣服・その他の繊維既製品,7801,1591,609,5601,486,5115,4380,3245,1135,735
Ｋ161／木材・木製品,1441,251,79,1111,197,914,869,726,143,45
Ｋ162／家具・装備品,4940,724,176,4040,302,3738,3357,2881,476,381
Ｋ163／パルプ・紙・板紙・加工紙,495,52,23,420,31,389,361,327,34,28
Ｋ164／紙加工品,5264,340,120,4804,474,4330,4088,3235,853,242
Ｋ191／印刷・製版・製本,73561,1623,499,71439,6106,65333,62795,54337,8458,2538
Ｋ201／化学肥料,8,0,0,8,0,8,7,7,0,1
Ｋ202／無機化学工業製品,455,2,0,453,20,433,419,377,42,14
Ｋ203／石油化学基礎製品,0,0,0,0,0,0,0,0,0,0
Ｋ204／有機化学工業製品（石油化学基礎製品を除く。）,277,3,1,273,10,263,245,214,31,18
Ｋ205／合成樹脂,9,0,0,9,2,7,5,4,1,2
Ｋ206／化学繊維,0,0,0,0,0,0,0,0,0,0
Ｋ207／医薬品,982,0,0,982,32,950,919,712,207,31
Ｋ208／化学最終製品（医薬品を除く。）,6443,25,5,6413,297,6116,5803,4889,914,313
Ｋ211／石油製品,13,0,0,13,0,13,9,9,0,4
Ｋ212／石炭製品,751,0,0,751,21,730,728,688,40,2
Ｋ221／プラスチック製品,14612,797,213,13602,1395,12207,11562,8976,2586,645
Ｋ222／ゴム製品,4310,321,82,3907,241,3666,3529,2854,675,137
Ｋ231／なめし革・毛皮・同製品,9199,1612,545,7042,422,6620,6262,4517,1745,358
Ｋ251／ガラス・ガラス製品,1349,55,13,1281,116,1165,1116,965,151,49
Ｋ252／セメント・セメント製品,3566,140,34,3392,414,2978,2854,2455,399,124
Ｋ253／陶磁器,82,30,16,36,6,30,18,12,6,12
Ｋ259／その他の窯業・土石製品,948,54,12,882,86,796,768,666,102,28
Ｋ261／銑鉄・粗鋼,0,0,0,0,0,0,0,0,0,0
Ｋ262／鋼材,978,0,0,978,67,911,877,802,75,34
Ｋ263／鋳鍛造品,710,19,5,686,78,608,598,551,47,10
Ｋ269／その他の鉄鋼製品,1554,159,44,1351,123,1228,1174,1056,118,54
Ｋ271／非鉄金属製錬・精製,496,40,8,448,38,410,392,342,50,18
Ｋ272／非鉄金属加工製品,1648,205,43,1400,175,1225,1183,1030,153,42
Ｋ281／建設・建築用金属製品,3860,410,109,3341,374,2967,2776,2341,435,191
Ｋ289／その他の金属製品,15643,1488,394,13761,1296,12465,11972,9967,2005,493
Ｋ291／はん用機械,5153,413,82,4658,495,4163,3867,3287,580,296
Ｋ301／生産用機械,17940,844,218,16878,2248,14630,14066,12275,1791,564
Ｋ311／業務用機械,15107,561,150,14396,1068,13328,12806,10966,1840,522
Ｋ321／電子デバイス,5545,0,0,5545,290,5255,5082,4356,726,173
Ｋ329／その他の電子部品,7264,105,30,7129,480,6649,6442,5486,956,207
Ｋ331／産業用電気機器,11782,275,57,11450,811,10639,10086,8664,1422,553
Ｋ332／民生用電気機器,358,14,2,342,24,318,302,260,42,16
Ｋ333／電子応用装置・電気計測器,6399,157,40,6202,521,5681,5485,4671,814,196
Ｋ339／その他の電気機械,1684,48,10,1626,96,1530,1434,1234,200,96
Ｋ341／通信機械・同関連機器,9546,33,9,9504,149,9355,9181,8626,555,174
Ｋ342／電子計算機・同附属装置,3479,8,2,3469,55,3414,3370,3203,167,44
Ｋ351／乗用車,1,0,0,1,0,1,1,1,0,0
Ｋ352／その他の自動車,5052,0,0,5052,131,4921,4761,4214,547,160
Ｋ353／自動車部品・同附属品,5409,75,22,5312,187,5125,4813,4300,513,312
Ｋ354／船舶・同修理,165,1,0,164,6,158,153,137,16,5
Ｋ359／その他の輸送機械・同修理,7046,123,32,6891,254,6637,6459,5760,699,178
Ｋ391／その他の製造工業製品,14089,1582,514,11993,1518,10475,9774,7723,2051,701
Ｋ392／再生資源回収・加工処理,6615,632,202,5781,1021,4760,4309,3405,904,451
Ｋ411／建築,283362,8863,2269,272230,35228,237002,221777,187691,34086,15225
Ｋ412／建設補修,114859,3885,1492,109482,14330,95152,89252,75386,13866,5900
Ｋ413／公共事業,55395,2422,719,52254,6727,45527,41702,35193,6509,3825
Ｋ419／その他の土木建設,70185,2416,717,67052,8719,58333,54527,46091,8436,3806
Ｋ461／電力,5923,0,0,5923,68,5855,5827,5360,467,28
Ｋ462／ガス・熱供給,5966,0,0,5966,140,5826,5812,5333,479,14
Ｋ471／水道,9901,0,0,9901,0,9901,9874,9081,793,27
Ｋ481／廃棄物処理,26061,242,113,25706,2369,23337,21615,17436,4179,1722
Ｋ511／商業,1372204,36367,12997,1322840,99684,1223156,1163452,757156,406296,59704
Ｋ531／金融・保険,293321,145,35,293141,4829,288312,286095,242888,43207,2217
Ｋ551／不動産仲介及び賃貸,97618,8323,2690,86605,17478,69127,62425,44225,18200,6702
Ｋ552／住宅賃貸料,30780,4212,1502,25066,5144,19922,18374,13018,5356,1548
Ｋ571／鉄道輸送,26191,0,0,26191,171,26020,25552,22752,2800,468
Ｋ572／道路輸送（自家輸送を除く。）,172928,6767,1311,164850,8758,156092,145920,114971,30949,10172
Ｋ574／水運,6962,67,39,6856,688,6168,5903,5378,525,265
Ｋ575／航空輸送,7520,0,0,7520,67,7453,7390,7196,194,63
Ｋ576／貨物利用運送,7439,501,125,6813,400,6413,6072,4471,1601,341
Ｋ577／倉庫,9679,132,25,9522,502,9020,8310,5101,3209,710
Ｋ578／運輸附帯サービス,42410,3039,758,38613,2566,36047,33779,25249,8530,2268
Ｋ579／郵便・信書便,40586,0,0,40586,55,40531,40229,18180,22049,302
Ｋ591／通信,46265,24,3,46238,754,45484,45195,36273,8922,289
Ｋ592／放送,6760,0,0,6760,247,6513,6149,5352,797,364
Ｋ593／情報サービス,234620,8031,74,226515,13800,212715,205663,184704,20959,7052
Ｋ594／インターネット附随サービス,11222,614,10,10598,1123,9475,9043,7946,1097,432
Ｋ595／映像・音声・文字情報制作,107720,9230,268,98222,10343,87879,82954,70534,12420,4925
Ｋ611／公務,199849,0,0,199849,0,199849,198357,179446,18911,1492
Ｋ631／教育,241888,2353,227,239308,3293,236015,214333,126219,88114,21682
Ｋ632／研究,64833,27,0,64806,1591,63215,61382,50819,10563,1833
Ｋ641／医療,269087,14227,2079,252781,9099,243682,223112,149606,73506,20570
Ｋ642／保健衛生,20574,316,64,20194,340,19854,16429,11164,5265,3425
Ｋ643／社会保険・社会福祉,71400,0,0,71400,1178,70222,63271,35114,28157,6951
Ｋ644／介護,94732,0,0,94732,1477,93255,79371,44073,35298,13884
Ｋ659／その他の非営利団体サービス,49470,2178,822,46470,7459,39011,37126,32256,4870,1885
Ｋ661／物品賃貸サービス,31288,895,225,30168,1327,28841,26556,19101,7455,2285
Ｋ662／広告,38351,470,75,37806,2982,34824,32120,28145,3975,2704
Ｋ663／自動車整備・機械修理,55851,2646,790,52415,5216,47199,45797,40043,5754,1402
Ｋ669／その他の対事業所サービス,708993,56793,4192,648008,20426,627582,537349,262054,275295,90233
Ｋ671／宿泊業,41738,1555,1299,38884,1960,36924,32337,17806,14531,4587
Ｋ672／飲食サービス,671113,50896,23694,596523,18645,577878,499495,128672,370823,78383
Ｋ673／洗濯・理容・美容・浴場業,149362,22098,7210,120054,6546,113508,106416,67359,39057,7092
Ｋ674／娯楽サービス,87675,1366,630,85679,2993,82686,64177,27186,36991,18509
Ｋ679／その他の対個人サービス,252457,57485,6301,188671,13553,175118,153061,84075,68986,22057
Ｋ691／分類不明,3373,29,12,3332,219,3113,3069,2709,360,44
Ｌ100／本社,2392593,0,0,2392593,186664,2205929,2205929,1567989,637940,0
合計,8877283,333450,80780,8463053,545204,7917849,7475456,5045170,2430286,442393
,,,,,,,,,,
東京都産業連関表,,,,,,,,,,
３-１　雇用表（東京都地域、統合中分類）,,,,,,,,,,
column0,column1,column1,column1,column2,column2,column3,column4,column4,,column3
