階層,地域コード,地域,流入人口（表側地域から区部へ）／総数（人）,流入人口（表側地域から区部へ）／通勤者（人）,流入人口（表側地域から区部へ）／通学者（人）,流入人口（表側地域から区部へ）／通学者／うち15歳以上（人）,流出人口（区部から表側地域へ）／総数（人）,流出人口（区部から表側地域へ）／通勤者（人）,流出人口（区部から表側地域へ）／通学者（人）,流出人口（区部から表側地域へ）／通学者／うち15歳以上（人）,流入超過人口(人）
0,13000,東京都総数,3037953,2786927,251026,234316,424904,359001,65903,54483,2613049
1,,市町村合計,531955,482030,49925,46299,106503,79494,27009,21919,425452
2,13200,市部,530588,480919,49669,46046,106000,79021,26979,21890,424588
3,13201,八王子市,39166,35512,3654,3565,10550,6036,4514,4434,28616
3,13202,立川市,15845,14500,1345,1274,5697,5399,298,281,10148
3,13203,武蔵野市,33231,30128,3103,2601,17076,12589,4487,3221,16155
3,13204,三鷹市,39375,35557,3818,3428,9606,7464,2142,1698,29769
3,13205,青梅市,4834,4213,621,605,503,494,9,6,4331
3,13206,府中市,35241,31901,3340,3146,7315,6683,632,562,27926
3,13207,昭島市,8256,7557,699,677,1247,1201,46,39,7009
3,13208,調布市,48054,43985,4069,3678,10351,7647,2704,1714,37703
3,13209,町田市,42683,38217,4466,4241,5630,3616,2014,1704,37053
3,13210,小金井市,23786,21799,1987,1844,4453,2306,2147,1700,19333
3,13211,小平市,26604,24310,2294,2167,4443,2864,1579,1294,22161
3,13212,日野市,17666,16199,1467,1414,2298,1827,471,470,15368
3,13213,東村山市,19870,18063,1807,1693,1855,1513,342,246,18015
3,13214,国分寺市,19714,18135,1579,1450,3244,1963,1281,823,16470
3,13215,国立市,9604,8743,861,782,2638,1251,1387,1088,6966
3,13218,福生市,2694,2417,277,269,267,265,2,1,2427
3,13219,狛江市,21476,19460,2016,1774,1924,1707,217,210,19552
3,13220,東大和市,7081,6490,591,569,495,462,33,32,6586
3,13221,清瀬市,11237,10109,1128,1061,1948,1404,544,523,9289
3,13222,東久留米市,18696,16889,1807,1692,1991,1620,371,238,16705
3,13223,武蔵村山市,2790,2464,326,313,415,340,75,71,2375
3,13224,多摩市,18446,17024,1422,1335,4258,3604,654,578,14188
3,13225,稲城市,13745,12039,1706,1629,1133,998,135,132,12612
3,13227,羽村市,2453,2097,356,349,263,261,2,2,2190
3,13228,あきる野市,2796,2392,404,399,269,232,37,32,2527
3,13229,西東京市,45245,40719,4526,4091,6131,5275,856,791,39114
2,13300,郡部,1298,1071,227,225,288,280,8,7,1010
3,13303,瑞穂町,780,644,136,135,149,145,4,4,631
3,13305,日の出町,417,358,59,58,62,61,1,1,355
3,13307,檜原村,22,13,9,9,48,46,2,1,-26
3,13308,奥多摩町,79,56,23,23,29,28,1,1,50
2,13350,島部,69,40,29,28,215,193,22,22,-146
4,,他道府県合計,2505998,2304897,201101,188017,318401,279507,38894,32564,2187597
5,,関東地方合計,2462943,2271618,191325,178276,308362,270481,37881,31648,2154581
6,8000,茨城県,57408,49524,7884,7780,6544,5728,816,651,50864
6,9000,栃木県,13990,10901,3089,3062,2135,2015,120,109,11855
6,10000,群馬県,10645,7937,2708,2697,1610,1472,138,138,9035
6,11000,埼玉県,808412,746574,61838,57864,95074,85984,9090,7847,713338
6,12000,千葉県,677035,632275,44760,41861,77264,66386,10878,9085,599771
6,14000,神奈川県,895453,824407,71046,65012,125735,108896,16839,13818,769718
5,,北海道・東北地方,5731,4294,1437,1432,1946,1743,203,192,3785
5,,北陸地方,2186,1435,751,750,602,549,53,52,1584
5,,中部地方,21013,15511,5502,5479,4079,3699,380,323,16934
5,,近畿地方,8676,7841,835,832,2094,1868,226,216,6582
5,,中国地方,1471,1114,357,356,401,374,27,21,1070
5,,四国地方,742,512,230,230,162,152,10,8,580
5,,九州地方,3236,2572,664,662,755,641,114,104,2481
7,,（再掲）,,,,,,,,,
7,14100,横浜市,419733,387113,32620,29828,63219,54122,9097,7340,356514
7,14130,川崎市,284165,263138,21027,18226,44760,40971,3789,2808,239405
7,11100,さいたま市,176401,163489,12912,11922,20746,18566,2180,1552,155655
7,12203,市川市,116374,110071,6303,5668,14164,11864,2300,1452,102210
7,11203,川口市,104750,97262,7488,6709,11024,10931,93,80,93726
7,12204,船橋市,104092,98485,5607,5187,9427,8275,1152,1065,94665
7,12100,千葉市,87188,80283,6905,6499,13006,11332,1674,1467,74182
7,12207,松戸市,84414,79933,4481,4213,7175,6044,1131,960,77239
7,12217,柏市,55250,51920,3330,3139,5372,4727,645,542,49878
7,11222,越谷市,45106,42457,2649,2507,4426,3864,562,440,40680
7,11221,草加市,43739,41171,2568,2369,5644,5210,434,431,38095
7,12227,浦安市,42517,38831,3686,3221,11389,10471,918,812,31128
7,14150,相模原市,40714,37465,3249,3114,3733,2596,1137,1104,36981
7,11208,所沢市,40149,37186,2963,2749,4400,3989,411,399,35749
7,12220,流山市,31155,29735,1420,1327,1267,1079,188,144,29888
7,14205,藤沢市,28831,26497,2334,2279,3204,1941,1263,1096,25627
7,11224,戸田市,28167,25944,2223,2026,5211,5181,30,29,22956
7,11227,朝霞市,27778,26005,1773,1625,3417,3216,201,198,24361
7,12216,習志野市,26892,25255,1637,1540,3855,2361,1494,1326,23037
7,11201,川越市,26762,24181,2581,2468,3692,2835,857,757,23070
7,11230,新座市,25605,23944,1661,1509,4445,3308,1137,955,21160
7,11229,和光市,23543,22175,1368,1220,5466,5447,19,15,18077
7,12221,八千代市,23281,21688,1593,1521,1276,1195,81,75,22005
7,11219,上尾市,20879,19104,1775,1702,1093,1003,90,90,19786
7,11237,三郷市,19842,18916,926,849,3677,3666,11,11,16165
,,,,,,,,,,,
令和２年国勢調査による東京都の昼間人口,,,,,,,,,,,
第６表　区部と他地域との流入・流出人口 -通勤者（15歳以上）・通学者-,,,,,,,,,,,
東京都階層（0:東京都総数　1:市町村合計　2市部・郡部・島部　3:市町村）,,,,,,,,,,,
他県階層（4:他道府県の合計　5:地方　6:関東地方の東京都以外の県　7:上位25都市2:関東地方の市町村のうち上位25都市）,,,,,,,,,,,
注　1)　東京都総数に従業・通学市区町村の不詳及び外国は含まない。,,,,,,,,,,,
注　2)　流入超過人口のマイナス値は流出超過である。,,,,,,,,,,,
