区分１,区分２,延長（ｍ）,内訳都道（ｍ）,内訳町村道（ｍ）
大島支庁管内,大島,498111,60170,437941
大島支庁管内,利島,27706,8803,18903
大島支庁管内,新島,143896,17616,126280
大島支庁管内,神津島,78829,8577,70252
小計,,748542,95166,653376
三宅支庁管内,三宅島,133463,34856,98607
三宅支庁管内,御蔵島,21273,14993,6280
小計,,154736,49849,104887
八丈支庁管内,八丈島,482555,54607,427948
八丈支庁管内,青ヶ島,37120,6347,30773
小計,,519675,60954,458721
小笠原支庁管内,,50025,35360,14665
合計,,1472978,241329,1231649
